words,sentiment_coeff
sales rose percent to billion yuan,-1.0005358086251397
overseas funds bought a net billion rupees of indian equities on oct_extending this years record inflows to billion rupees according to the nations market regulator,-1.0016311845989223
prices have gained percent this year,-1.0040633448059766
the shares have gained percent this year,-1.0007502046766317
the average estimate of analysts surveyed by bloomberg was for a profit of a share,1.00100496980026
the following is a list of companies whose shares may have unusual moves in australia _the preview includes news announced after markets closed,-1.0047240816036225
all prices are from yesterdays close unless otherwise stated,1.0024344010435449
the p asx index lost percent to ,-1.0009498000657329
the stock climbed percent to a ,1.0043596952342204
the stock gained percent to a ,-1.0069878109022947
standard poors index futures lost percent,-0.9992834565205702
the msci emerging markets index slid percent,1.0019998424832248
swiss life holding ag slipped percent to francs,-1.0016099989929947
the stock has gained percent in the past year,1.0011886681591906
shares of the following companies had unusual moves in philippine trading_stock symbols are in parentheses and prices are as of the pm close in manila,1.0013054762105789
the philippine stock exchange index declined percent to ,-0.998873539023244
the following are among the most active stocks in the portuguese market today,1.002709471758287
revenue increased percent to billion euros,-1.000388272403937
the dollar denominated rts index gained percent to ,1.0010575388989065
they have gained percent this year,-0.999206772304371
the following shares were among the most active in the market_stock symbols are in parentheses after the company name,1.0010738754883606
shares of the following companies may have unusual price changes in philippine trading,-0.9998111743371574
the stock fell percent to pesos,1.0048836233250533
the percent security due september rose or euros per euro face amount to ,-1.001144411846279
bids are due by pm new york time,-1.0004282944217415
the feds primary dealers trade government securities with the central bank and are obligated to participate in treasury auctions_todays offering is the first of three sales of united states notes this week totaling billion,1.0038493803094164
the following were among the most active stocks in the south african market today,1.000250277849139
climbing cents or percent to rand,1.0000810760721766
rising rand or percent to rand,-0.9988564756116728
the ruble based micex index rose percent to ,1.001620000469331
said today in a phone interview,1.0019329392905163
the stock has gained percent this year,-0.9993468085403735
the following were among the most active stocks in the spanish market_symbols are in parentheses after company names,0.9990498805334689
banco santander sa slid percent to euros,1.0010915046523448
the metal has gained percent this year,1.0056736038492275
and are up percent this year,-1.0032241166225337
the following shares rose or fell in sub saharan africa excluding south africa,-1.0021817479860502
